time_s,attitude_error_rad,angular_rate_norm,torque_x,torque_y,torque_z
1.41,0.08057577462602351,0.42373325589750505,0.5101828831224645,-0.4646801538206297,0.2805711686257087
1.42,0.07643917463445532,0.4176617510922042,0.5083095673021247,-0.46609781927788374,0.2847918231831207
1.43,0.07236678160638411,0.4115931723795907,0.5062838658540716,-0.4673686531911984,0.2888833662854149
1.44,0.06835914313921355,0.4055293927869334,0.5041099518107678,-0.46849487173814597,0.2928462859871265
1.45,0.06441690650164672,0.39947224397479447,0.5017919739596638,-0.4694786955888672,0.2966811161103705
1.46,0.06054085076578224,0.3934235164712009,0.4993340552038635,-0.4703223488378984,0.3003884350894187
1.47,0.05673192961027905,0.38738495992670335,0.49674029096871886,-0.4710280579610907,0.3039688647982919
1.48,0.05299132916251019,0.38135828339005434,0.494014747655675,-0.4715980507982528,0.30742306936369274
1.49,0.049320547375216066,0.3753451556042411,0.49116146114453996,-0.47203455556205925,0.3107517539655341
1.5,0.04572150477156157,0.3693472053226207,0.4881844353451896,-0.47233979987370195,0.3139556636272513
1.51,0.04219670173247594,0.36336602164491455,0.48508764079957317,-0.4725160098256748,0.31703558199801013
1.52,0.03874944621260852,0.3574031543728358,0.4818750133347427,-0.47256540907201494,0.31999233012885225
1.53,0.0353841902701164,0.3514601143851491,0.4785504527674873,-0.47249021794625196,0.3228267652447425
1.54,0.03210703837668199,0.3455383740319809,0.47511782166102473,-0.4722926526072483,0.32553977951441093
1.55,0.02892653278175601,0.33963936754823604,0.4715809441340734,-0.4719749242130527,0.3281322988198009
1.56,0.025854894517400032,0.33376449148600723,0.4679436047225092,-0.47153923812281734,0.33060528152686386
1.57,0.0229100241312113,0.3279151051659079,0.46420954729369224,-0.4709877931267803,0.33295971725935986
1.58,0.02011876881157135,0.3220925311473073,0.4603824740134469,-0.4703227807042509,0.3351966256772507
1.59,0.017522229192579744,0.3162980557174983,0.4564660443655654,-0.46954638430948603,0.33731705526119443
1.6,0.015183959223553062,0.31053292939989263,0.45246387422361434,-0.46866077868529094,0.33932208210457016
1.61,0.013200611438680914,0.3047983674814072,0.44837953497472877,-0.4676681292041327,0.34121280871439796
1.62,0.011708315815885289,0.2990955505592814,0.44421655269499244,-0.4665705912365102,0.3429903628224284
1.6300000000000001,0.010863256852707701,0.2934256251076556,0.4399784073759201,-0.4653703095462765,0.3446558962076158
1.6400000000000001,0.010771814878591319,0.2877897040643384,0.435668532201485,-0.46406941771257887,0.3462105835311114
1.6500000000000001,0.011409423453781653,0.28218886743829963,0.4312903128750624,-0.4626700375780358,0.3476556211848374
1.6600000000000001,0.012628975939035635,0.2766241629385524,0.42684708699559604,-0.46117427872274463,0.34899222615463993
1.67,0.014249859878064658,0.2710966066252219,0.42234214348223276,-0.4595842379636761,0.35022163489894576
1.68,0.01612395380652936,0.2656071835837578,0.4177787220466195,-0.4579019988789848,0.3513451022437758
1.69,0.01814915515807521,0.2601568486234186,0.41316001271200126,-0.4561296313567454,0.35236390029491405
1.7,0.020259441664095535,0.25474652700135086,0.40848915537821856,-0.4542691911675861,0.3532793173679521
1.71,0.022412579680204915,0.249377115173808,0.4037692394316579,-0.45232271956068804,0.35409265693687875
